date,time,cpu,memory,read,write
2012/2/10,14:30:00,0,33,0,0
2012/2/10,14:40:00,0,31,0,0
2012/2/10,14:50:00,0,30,0,0
2012/2/10,15:00:00,0,30,0,0
2012/2/10,15:10:00,0,30,0,0
2012/2/10,15:20:00,0,30,0,0
2012/2/10,15:30:00,0,33,0,0
2012/2/10,15:40:00,0,33,0,0
2012/2/10,15:50:00,0,30,0,0
2012/2/10,16:00:00,0,29,0,0
2012/2/10,16:10:00,0,31,0,0
2012/2/10,16:20:00,0,29,0,0
2012/2/10,16:30:00,0,29,0,0
2012/2/10,16:40:00,0,29,0,0
2012/2/10,16:50:00,0,29,0,0
2012/2/10,17:00:00,0,29,0,0
2012/2/10,17:10:00,2,29,0,0
2012/2/10,17:20:00,0,29,0,0
2012/2/10,17:30:00,0,28,0,0
2012/2/10,17:41:00,0,28,0,0
2012/2/10,17:51:00,0,28,0,0
2012/2/10,18:01:00,0,28,0,0
2012/2/10,18:11:00,0,28,0,0
2012/2/10,18:21:00,0,28,0,0
2012/2/10,18:31:00,0,28,0,0
2012/2/10,18:41:00,0,32,0,0
2012/2/10,18:51:00,0,32,0,0
2012/2/10,19:01:00,0,32,0,0
2012/2/10,19:11:00,0,32,0,0
2012/2/10,19:21:00,0,32,0,0
2012/2/10,19:31:00,0,32,0,0
2012/2/10,19:41:00,0,32,0,0
2012/2/10,19:51:00,0,32,0,0
2012/2/10,20:01:00,0,30,0,0
2012/2/10,20:11:00,0,29,0,0
2012/2/10,20:21:00,0,29,0,0
2012/2/10,20:31:00,0,28,0,0
2012/2/10,20:41:00,4,29,0,0
2012/2/10,20:51:00,0,32,0,0
2012/2/10,21:01:00,0,32,0,0
2012/2/10,21:11:00,0,32,0,0
2012/2/10,21:21:00,0,30,0,0
2012/2/10,21:31:00,2,29,0,0
2012/2/10,21:41:00,0,29,0,0
2012/2/10,21:51:00,0,29,0,0
2012/2/10,22:01:00,0,31,0,0
2012/2/10,22:11:00,0,29,0,0
2012/2/10,22:21:00,0,29,0,0
2012/2/10,22:32:00,0,29,0,0
2012/2/10,22:42:00,0,29,0,0
2012/2/10,22:52:00,0,31,0,0
2012/2/10,23:02:00,0,31,0,0
2012/2/10,23:12:00,0,31,0,0
2012/2/10,23:22:00,0,29,0,0
2012/2/10,23:32:00,0,29,0,0
2012/2/10,23:42:00,0,32,0,0
2012/2/10,23:52:00,0,31,0,0
2012/2/11,0:02:00,0,32,0,0
2012/2/11,0:12:00,0,32,0,0
2012/2/11,0:22:00,0,32,0,0
2012/2/11,0:32:00,0,32,0,0
2012/2/11,0:42:00,0,32,0,0
2012/2/11,0:52:00,0,32,0,0
2012/2/11,1:02:00,0,32,0,0
2012/2/11,1:12:00,0,48,0,0
2012/2/11,1:22:00,0,42,0,0
2012/2/11,1:32:00,0,45,0,0
2012/2/11,1:42:00,0,45,0,0
2012/2/11,1:52:00,0,44,0,0
2012/2/11,2:02:00,0,44,0,0
2012/2/11,2:12:00,0,44,0,0
2012/2/11,2:22:00,0,44,0,0
2012/2/11,2:32:00,80,46,0,0
2012/2/11,2:42:00,0,47,0,0
2012/2/11,2:52:00,0,47,0,0
2012/2/11,3:02:00,27,47,0,0
2012/2/11,3:13:00,0,47,0,0
2012/2/11,3:23:00,0,47,0,0
2012/2/11,3:33:00,0,47,0,0
2012/2/11,3:43:00,0,47,0,0
2012/2/11,3:53:00,0,47,0,0
2012/2/11,4:03:00,0,46,0,0
2012/2/11,4:13:00,0,46,0,0
2012/2/11,4:23:00,0,46,0,0
2012/2/11,4:33:00,0,46,0,0
2012/2/11,4:43:00,0,46,0,0
2012/2/11,4:53:00,0,46,0,0
2012/2/11,5:03:00,0,45,0,0
2012/2/11,5:13:00,0,45,0,0
2012/2/11,5:23:00,0,45,0,0
2012/2/11,5:33:00,0,45,0,0
2012/2/11,5:43:00,0,45,0,0
2012/2/11,5:53:00,0,43,0,0
2012/2/11,6:03:00,0,43,0,0
2012/2/11,6:13:00,0,43,0,0
2012/2/11,6:23:00,0,43,0,0
2012/2/11,6:33:00,0,43,0,0
2012/2/11,6:43:00,0,43,0,0
2012/2/11,6:53:00,0,43,0,0
2012/2/11,7:03:00,0,43,0,0
2012/2/11,7:13:00,0,43,0,0
2012/2/11,7:23:00,0,43,0,0
2012/2/11,7:33:00,0,43,0,0
2012/2/11,7:44:00,0,33,11,17
2012/2/11,7:54:00,0,44,0,0
2012/2/11,8:04:00,0,43,0,0
2012/2/11,8:14:00,0,43,0,0
2012/2/11,8:24:00,0,43,0,0
2012/2/11,8:34:00,0,43,0,0
2012/2/11,8:44:00,0,40,0,0
2012/2/11,8:54:00,0,38,0,0
2012/2/11,9:04:00,0,38,0,0
2012/2/11,9:14:00,0,38,0,0
2012/2/11,9:24:00,0,40,0,0
2012/2/11,9:34:00,0,40,0,0
2012/2/11,9:44:00,5,38,0,0
2012/2/11,9:54:00,0,38,0,0
2012/2/11,10:04:00,0,38,0,0
2012/2/11,10:14:00,0,40,0,0
2012/2/11,10:24:00,0,40,0,0
2012/2/11,10:34:00,0,39,0,0
2012/2/11,10:44:00,0,39,0,0
2012/2/11,10:54:00,0,39,0,0
2012/2/11,11:04:00,0,37,0,0
2012/2/11,11:14:00,0,37,0,0
2012/2/11,11:24:00,0,39,0,0
2012/2/11,11:34:00,0,38,0,0
2012/2/11,11:44:00,0,37,0,0
2012/2/11,11:54:00,0,37,0,0
2012/2/11,12:05:00,4,37,0,0
2012/2/11,12:15:00,0,37,0,0
2012/2/11,12:25:00,0,35,0,0
2012/2/11,12:35:00,0,35,0,0
2012/2/11,12:45:00,0,38,0,0
2012/2/11,12:55:00,0,31,0,0
2012/2/11,13:05:00,0,34,0,0
2012/2/11,13:15:00,0,36,0,0
2012/2/11,13:25:00,0,36,0,0
2012/2/11,13:35:00,0,36,0,0
2012/2/11,13:45:00,0,34,0,0
2012/2/11,13:55:00,0,34,0,0
2012/2/11,14:05:00,0,34,0,0
2012/2/11,14:15:00,0,34,0,0
2012/2/11,14:25:00,0,36,0,0
2012/2/11,14:35:00,0,35,0,0
2012/2/11,14:45:00,0,34,0,0
2012/2/11,14:55:00,0,34,0,0
2012/2/11,15:05:00,0,34,0,0
2012/2/11,15:15:00,0,37,0,0
2012/2/11,15:25:00,0,37,0,0
2012/2/11,15:35:00,0,37,0,0
2012/2/11,15:45:00,0,35,0,0
2012/2/11,15:55:00,0,34,0,0
2012/2/11,16:05:00,0,34,0,0
2012/2/11,16:15:00,0,37,0,0
2012/2/11,16:25:00,2,37,0,0
2012/2/11,16:35:00,0,37,0,0
2012/2/11,16:45:00,0,37,0,0
2012/2/11,16:56:00,4,37,0,0
2012/2/11,17:06:00,0,37,0,0
2012/2/11,17:16:00,0,37,0,0
2012/2/11,17:26:00,0,37,0,0
2012/2/11,17:36:00,4,36,0,0
2012/2/11,17:46:00,0,35,0,0
2012/2/11,17:56:00,0,34,0,0
2012/2/11,18:06:00,0,34,0,0
2012/2/11,18:16:00,0,34,0,0
2012/2/11,18:26:00,0,34,0,0
2012/2/11,18:36:00,0,36,0,0
2012/2/11,18:46:00,0,34,0,0
2012/2/11,18:56:00,2,34,0,0
2012/2/11,19:06:00,0,34,0,0
2012/2/11,19:16:00,0,34,0,0
2012/2/11,19:26:00,4,36,0,0
2012/2/11,19:36:00,0,36,0,0
2012/2/11,19:46:00,0,36,0,0
2012/2/11,19:56:00,0,36,0,0
2012/2/11,20:06:00,0,36,0,0
2012/2/11,20:16:00,0,36,0,0
2012/2/11,20:26:00,0,35,0,0
2012/2/11,20:36:00,2,32,0,0
2012/2/11,20:46:00,0,32,0,0
2012/2/11,20:56:00,0,34,0,0
2012/2/11,21:06:00,0,34,0,0
2012/2/11,21:16:00,0,32,0,0
2012/2/11,21:26:00,0,32,0,0
2012/2/11,21:36:00,0,34,0,0
2012/2/11,21:47:00,4,33,0,0
2012/2/11,21:57:00,2,32,0,0
2012/2/11,22:07:00,2,32,0,0
